FindingID,ReviewID,Protocol,InterventionID,Intervention_Name,Comparison,OutcomeMeasureID,Outcome_Measure,Outcome_Domain,Period,Sample_Description,Is_Subgroup,Outcome_Sample_Size,Outcome_Measure_Intervention_Sample_Size,Outcome_Measure_Comparison_Sample_Size,Intervention_Clusters_Sample_Size,Comparison_Clusters_Sample_Size,Intervention_Mean,Comparison_Mean,Intervention_Standard_Deviation,Comparison_Standard_Deviation,Effect_Size_Study,Effect_Size_WWC,Improvement_Index,p_Value_Study,p_Value_WWC,ICC,Clusters_Total,Is_Statistically_Significant,Finding_Rating,ESSA_Rating,L1_Unit_of_Analysis,FavorableUnfavorableDesignation
4,50931,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,592,Perceptions of assertiveness/efficacy skills,"Knowledge, attitudes, & values",,Grades 9 - 12,FALSE,200,100,100,,,4.17,3.98,0.72,0.73,0.26,0.261068817,10,,0.067482515,,,FALSE,,,Student,
5,50931,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,595,Perceptions of parental negative attitudes towards substance use,"Knowledge, attitudes, & values",,Grades 9 - 12,FALSE,200,100,100,,,3.76,3.33,0.72,0.86,0.55,0.540123243,21,,0.000137112,,,TRUE,,Evidence Tier 3,Student,
20,50937,Character Education,251,Too Good for Drugs (TGFD),Business as usual,589,Peers disapprove use,"Knowledge, attitudes, & values",Follow-up,Grade 6,FALSE,6,3,3,,,3.73,3.47,0.98,1.07,0.26,0.202731548,10,,0.763027272,,,FALSE,,,Student,
30,50441,Character Education,204,Connect with Kids,None,266,Elementary school student survey: Part 1,Behavior,,Grades 3-5,FALSE,24,13,11,13,11,3.92,3.75,0.61,0.63,0.27,0.265093053,11,,0.516400792,,,FALSE,,,Student,
32,50441,Character Education,204,Connect with Kids,None,280,Middle/high school student survey: Part 1,Behavior,,Grades 7-12,FALSE,22,11,11,11,11,3.84,3.37,0.79,0.68,0.61,0.613457516,23,,0.167263949,,,FALSE,,,Student,
38,50135,Character Education,103,Caring School Community (CSC),unknown,296,Social competence,Behavior,,Grade 4,FALSE,295,149,146,3,3,1.66,1.62,0.46,0.47,0.09,0.085805612,4,,0.440225886,,,FALSE,,,Student,
41,50142,Character Education,103,Caring School Community (CSC),None,250,Altruistic behavior,Behavior,,Grade 3-6,FALSE,1986,1086,900,5,5,0.04,-0.03,0.63,0.66,0.11,0.108693885,4,,0.015254627,,,FALSE,,,Student,
45,50142,Character Education,103,Caring School Community (CSC),None,292,Run away from home,Behavior,,Grade 5-6,FALSE,635,345,290,5,5,0.09,0.1,0.3,0.34,0.03,0.031322068,1,,0.706761171,,,FALSE,,,Student,
46,50142,Character Education,103,Caring School Community (CSC),None,295,Skipped school,Behavior,,Grade 5-6,FALSE,635,345,290,5,5,0.16,0.15,0.38,0.37,-0.03,-0.026601896,-1,,0.706761171,,,FALSE,,,Student,
48,50142,Character Education,103,Caring School Community (CSC),None,298,Stolen money or property,Behavior,,Grades 5–6,FALSE,635,345,290,5,5,0.26,0.25,0.43,0.45,-0.02,-0.022739399,-1,,0.801951133,,,FALSE,,,Student,
52,50142,Character Education,103,Caring School Community (CSC),None,306,Taken a car without permission,Behavior,,Grades 5–6,FALSE,635,345,290,5,5,0.03,0.09,0.21,0.34,0.22,0.216328948,9,,0.006108434,,,TRUE,,,Student,
56,50142,Character Education,103,Caring School Community (CSC),None,270,Had property damaged on purpose on purpose,Behavior,,Grades 5–6,FALSE,635,345,290,5,5,0.44,0.56,0.52,0.56,0.22,0.222523009,9,,0.006108434,,,TRUE,,,Student,
2,50931,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,590,Perception of emotional competence,"Knowledge, attitudes, & values",,Grades 9 - 12,FALSE,200,100,100,,,4.09,3.79,0.52,0.59,0.55,0.537422858,21,,0.000137112,,,TRUE,,Evidence Tier 3,Student,
12,50932,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,591,Perceptions of assertiveness and efficacy,"Knowledge, attitudes, & values",,Grades 9 - 12,FALSE,302,151,151,,,4.18,3.94,0.7,0.89,0.29,0.299004198,11,,0.012260222,,,TRUE,,Evidence Tier 3,Student,
15,50932,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,576,Intentions for fighting (no intentions),"Knowledge, attitudes, & values",,Grades 9 - 12,FALSE,150,75,75,,,,,,,0.13,,5,,0.427249626,,,FALSE,,,Student,
31,50441,Character Education,204,Connect with Kids,None,267,Elementary school student survey: Part 2,Behavior,,Grades 3-5,FALSE,24,13,11,13,11,4.56,4.44,0.42,0.51,0.25,0.250197437,10,,0.54768411,,,FALSE,,,Student,
34,50135,Character Education,103,Caring School Community (CSC),unknown,282,Negative behavior,Behavior,,Grades K–4,FALSE,350,175,175,3,3,51.33,48.36,10,10,0.29,0.296359454,11,,0.007059115,,,TRUE,,,Student,
37,50135,Character Education,103,Caring School Community (CSC),unknown,303,"Supportive, friendly, and helpful behavior",Behavior,,Grades K–4,FALSE,350,175,175,3,3,52.35,47.11,10,10,0.52,0.522869878,20,,1.8588721609758E-06,,,TRUE,,,Student,
44,50142,Character Education,103,Caring School Community (CSC),None,313,Use of cigarettes,Behavior,,Grade 5-6,FALSE,635,345,290,,,0.13,0.12,0.3,0.32,-0.03,-0.032293625,-1,,0.706761171,,,FALSE,,,Student,
55,50142,Character Education,103,Caring School Community (CSC),None,255,Been made fun of or called names,Behavior,,Grades 5–6,FALSE,635,345,290,5,5,0.98,0.99,0.54,0.57,0.02,0.018032457,1,,0.801951133,,,FALSE,,,Student,
60,50142,Character Education,103,Caring School Community (CSC),None,256,Been physically attacked,Behavior,,Grades 5–6,FALSE,635,345,290,5,5,0.28,0.34,0.47,0.53,0.12,0.120268977,5,,0.133049982,,,FALSE,,,Student,
64,50391,Character Education,187,Lessons in Character,business as usual,567,Friendship and belonging,"Knowledge, attitudes, & values",,Grade 4,FALSE,372,210,162,11,10,3.22,2.97,,,0.18,,7,,0.086218951,,,FALSE,,,Student,
68,50135,Character Education,103,Caring School Community (CSC),unknown,556,Democratic values,"Knowledge, attitudes, & values",,Grade 4,FALSE,294,149,145,3,3,3.31,3.12,0.37,0.45,0.46,0.460649398,18,,0.000100599,,,TRUE,,,Student,
70,50135,Character Education,103,Caring School Community (CSC),unknown,558,Empathy,"Knowledge, attitudes, & values",,Grade 4: Cohort 1,FALSE,256,166,90,3,3,1.69,1.67,0.47,0.56,,0.039614759,2,,0.762418374,,,FALSE,,,Student,
80,50135,Character Education,103,Caring School Community (CSC),unknown,607,Sense of community,"Knowledge, attitudes, & values",,Grade 4,FALSE,294,149,145,3,3,1.54,1.53,0.34,0.38,0.39,0.027684724,15,,0.000935676,,,TRUE,,,Student,
3,50931,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,599,Positive attitudes towards non-violence,"Knowledge, attitudes, & values",,Grades 9 - 12,FALSE,200,100,100,,,3.97,3.55,0.77,0.78,0.54,0.539868867,21,,0.00017939,,,TRUE,,Evidence Tier 3,Student,
6,50931,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,578,Intentions for marijuana (no intentions),"Knowledge, attitudes, & values",,Grades 9 - 12,FALSE,138,69,69,,,,,,,0.44,,17,,0.010800647,,,TRUE,,Evidence Tier 3,Student,
7,50931,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,576,Intentions for fighting (no intentions),"Knowledge, attitudes, & values",,Grades 9 - 12,FALSE,128,64,64,,,,,,,0.47,,18,,0.008853335,,,TRUE,,Evidence Tier 3,Student,
14,50932,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,578,Intentions for marijuana (no intentions),"Knowledge, attitudes, & values",,Grades 9 - 12,FALSE,196,98,98,,,,,,,0.47,,18,,0.001188906,,,TRUE,,Evidence Tier 3,Student,
17,50937,Character Education,251,Too Good for Drugs (TGFD),Business as usual,575,Intentions for drinking,"Knowledge, attitudes, & values",Follow-up,Grade 6,FALSE,6,3,3,,,,,,,0.18,,7,,0.83423641,,,FALSE,,,Student,
19,50937,Character Education,251,Too Good for Drugs (TGFD),Business as usual,605,Resistance skills,"Knowledge, attitudes, & values",Follow-up,Grade 6,FALSE,6,3,3,,,4.36,4.15,0.75,0.82,0.27,0.213800336,11,,0.754292663,,,FALSE,,,Student,
22,50937,Character Education,251,Too Good for Drugs (TGFD),Business as usual,579,Locus of control,"Knowledge, attitudes, & values",Follow-up,Grade 6,FALSE,6,3,3,,,4.37,4.25,0.63,0.72,0.18,0.141907222,7,,0.83423641,,,FALSE,,,Student,
26,50933,Character Education,250,Too Good For Violence (TGFV),None,617,Student Protective Factor Survey- Total score,"Knowledge, attitudes, & values",20 week follow-up,Grade 3,FALSE,998,499,499,,,3.89,3.7,0.44,0.41,0.4,0.446444123,16,,9.54073708925307E-10,,,TRUE,,Evidence Tier 3,Student,
43,50142,Character Education,103,Caring School Community (CSC),None,314,Use of marijuana,Behavior,,Grade 5-6,FALSE,635,345,290,5,5,0.04,0.07,0.22,0.28,0.12,0.120246371,5,,0.133049982,,,FALSE,,,Student,
47,50142,Character Education,103,Caring School Community (CSC),None,265,Damaged property on purpose,Behavior,,Grade 5-6,FALSE,635,345,290,5,5,0.23,0.27,0.45,0.45,0.09,0.088783529,4,,0.259503945,,,FALSE,,,Student,
51,50142,Character Education,103,Caring School Community (CSC),None,273,Hurt someone on purpose,Behavior,,Grades 5–6,FALSE,635,345,290,5,5,0.4,0.37,0.54,0.55,-0.06,-0.055022186,-2,,0.451959296,,,FALSE,,,Student,
53,50142,Character Education,103,Caring School Community (CSC),None,254,Been in a gang fight,Behavior,,Grades 5–6,FALSE,635,345,290,5,5,0.1,0.14,0.35,0.4,0.11,0.106922664,4,,0.168384283,,,FALSE,,,Student,
63,50391,Character Education,187,Lessons in Character,business as usual,620,Student respect,"Knowledge, attitudes, & values",,Grade 4,FALSE,372,210,162,11,10,3.3,3.11,,,0.13,,5,,0.214766903,,,FALSE,,,Student,
57,50142,Character Education,103,Caring School Community (CSC),None,271,Had property stolen from desk,Behavior,,Grades 5–6,FALSE,635,345,290,5,5,0.49,0.67,0.54,0.61,0.31,0.313752425,12,,0.000122929,,,TRUE,,,Student,
65,50391,Character Education,187,Lessons in Character,business as usual,609,Shaping the environment,"Knowledge, attitudes, & values",,Grade 4,FALSE,372,210,162,11,10,3.04,2.7,,,0.24,,9,,0.02241581,,,TRUE,,,Student,
69,50135,Character Education,103,Caring School Community (CSC),unknown,597,Perceptual benevolence,"Knowledge, attitudes, & values",,Grade 3: Cohort 1,FALSE,256,166,90,3,3,1.79,1.75,0.19,0.24,0.17,0.190925797,7,,0.195224795,,,FALSE,,,Student,
73,50135,Character Education,103,Caring School Community (CSC),unknown,583,Motive to help others learn,"Knowledge, attitudes, & values",,Grade 4: Cohort 1,FALSE,294,149,145,3,3,2.62,2.64,0.92,0.92,,-0.021683246,-1,,0.852669129,,,FALSE,,,Student,
74,50135,Character Education,103,Caring School Community (CSC),unknown,615,Social understanding,"Knowledge, attitudes, & values",,Grade 4: Cohort 1,FALSE,317,162,155,3,3,2.99,2.93,0.42,0.38,0.15,0.149290497,6,,0.182884782,,,FALSE,,,Student,
77,50135,Character Education,103,Caring School Community (CSC),unknown,612,Social problem solving interview,"Knowledge, attitudes, & values",,Grades 1 and 3: Cohort 1,FALSE,191,99,92,3,3,2.58,2.44,,,0.27,,11,,0.063796107,,,FALSE,,,Student,
79,50135,Character Education,103,Caring School Community (CSC),unknown,623,Total self-esteem,"Knowledge, attitudes, & values",,Grade 4: Cohort 1,FALSE,294,149,145,,,2.35,2.4,0.8,0.89,-0.06,-0.058978892,-2,,0.607398366,,,FALSE,,,Student,
86,50142,Character Education,103,Caring School Community (CSC),None,556,Democratic values,"Knowledge, attitudes, & values",,Grades 3–5,FALSE,1265,683,582,5,5,0.13,0.03,0.57,0.57,0.18,0.175334396,7,,0.001569142,,,TRUE,,,Student,
87,50142,Character Education,103,Caring School Community (CSC),None,549,Acceptance of outgroups,"Knowledge, attitudes, & values",,Grades 3–5,FALSE,1265,683,582,5,5,0.04,0,0.42,0.47,0.09,0.090097226,4,,0.111676094,,,FALSE,,,Student,
90,50142,Character Education,103,Caring School Community (CSC),None,559,Enjoyment of helping others learn others learn,"Knowledge, attitudes, & values",,Grades 4–5,FALSE,568,304,264,5,5,-0.04,-0.08,0.85,0.85,0.05,0.046996439,2,,0.552733004,,,FALSE,,,Student,
92,50142,Character Education,103,Caring School Community (CSC),None,568,General self-esteem,"Knowledge, attitudes, & values",,Grades 4–5,FALSE,568,304,264,5,5,0.01,-0.02,0.99,1.01,0.03,0.029979924,1,,0.721639188,,,FALSE,,,Student,
93,50142,Character Education,103,Caring School Community (CSC),None,555,Conflict resolution skills,"Knowledge, attitudes, & values",,Grades 3–6,FALSE,1986,1086,900,5,5,0.3,0.07,1.04,1.04,0.22,0.221070234,9,,1.72122694863663E-06,,,TRUE,,,Student,
100,50142,Character Education,103,Caring School Community (CSC),None,56,Inductive reasoning,Academic achievement,,Grades 5–6,FALSE,643,348,295,5,5,2,1.51,,,0.03,,1,,0.704905989,,,FALSE,,,Student,
54,50142,Character Education,103,Caring School Community (CSC),None,309,Thrown objects at people,Behavior,,Grades 5–6,FALSE,635,345,290,5,5,0.22,0.23,0.44,0.47,0.02,0.0220031,1,,0.801951133,,,FALSE,,,Student,
58,50142,Character Education,103,Caring School Community (CSC),None,269,Had money or property taken by force or threat taken by force or threat,Behavior,,Grades 5–6,FALSE,635,345,290,5,5,0.17,0.22,0.4,0.49,0.11,0.112640911,4,,0.168384283,,,FALSE,,,Student,
59,50142,Character Education,103,Caring School Community (CSC),None,257,Been threatened with harm,Behavior,,Grades 5–6,FALSE,635,345,290,5,5,0.45,0.47,0.55,0.57,0.04,0.035721717,2,,0.615972438,,,FALSE,,,Student,
62,50391,Character Education,187,Lessons in Character,business as usual,263,Citizenship grades,Behavior,,Grade 4,FALSE,140,70,70,2,2,0.12,0.06,0.32,0.23,0.21,0.21414576,8,,0.216189506,,,FALSE,,,Student,
66,50391,Character Education,187,Lessons in Character,business as usual,622,Support and care by teachers and staff,"Knowledge, attitudes, & values",,Grade 4,FALSE,372,210,162,11,10,4.11,3.7,,,0.3,,12,,0.004411236,,,TRUE,,,Student,
75,50135,Character Education,103,Caring School Community (CSC),unknown,612,Social problem solving interview,"Knowledge, attitudes, & values",,Grade 1: Cohort 2,FALSE,295,162,133,3,3,2.21,2.11,,,0.14,,6,,0.232478743,,,FALSE,,,Student,
83,50391,Character Education,187,Lessons in Character,business as usual,64,Mathematics grades,Academic achievement,,Grade 4,FALSE,140,70,70,2,2,2.95,2.56,0.84,0.86,0.46,0.456293821,18,,0.007332545,,,TRUE,,,Student,
91,50142,Character Education,103,Caring School Community (CSC),None,611,Social competence,"Knowledge, attitudes, & values",,Grades 4–5,FALSE,568,304,264,5,5,-0.06,-0.08,0.64,0.71,0.03,0.029659244,1,,0.721639188,,,FALSE,,,Student,
95,50142,Character Education,103,Caring School Community (CSC),None,607,Sense of community,"Knowledge, attitudes, & values",,Grades 3–6,FALSE,1986,1086,900,5,5,0.09,-0.2,0.62,0.59,0.48,0.477901558,18,,0,,,TRUE,,,Student,
105,50129,Character Education,102,Building Decision Skills,None,560,Ethical awareness,"Knowledge, attitudes, & values",,Grade 12,FALSE,282,141,141,3,3,2.25,1.85,,,0.56,,21,,4.04259724762213E-06,,,TRUE,,Evidence Tier 3,Student,
109,50129,Character Education,102,Building Decision Skills,None,613,Social responsibility: General,"Knowledge, attitudes, & values",,Grade 12,FALSE,282,141,141,3,3,26.52,26.16,3.18,4.13,0.09,0.097411982,4,,0.450474952,,,FALSE,,,Student,
111,50129,Character Education,102,Building Decision Skills,None,550,Anticipated community participation,"Knowledge, attitudes, & values",,Grade 12,FALSE,278,139,139,3,3,16.19,15.52,2.76,3.16,0.22,0.225222182,9,,0.067716768,,,FALSE,,,Student,
113,50131,Character Education,117,Heartwood Ethics Curriculum/An Ethics Curriculum for Children,unknown,268,Ethical Conduct,Behavior,posttest,Grades 1-3,FALSE,485,266,219,,,67.93,69.09,11.54,14.1,-0.09,-0.090773538,-4,,0.324752365,,,FALSE,,,Student,
101,50142,Character Education,103,Caring School Community (CSC),None,87,SAT-9,Academic achievement,,Grade 1-5: Southeastern district,FALSE,2675,1260,1415,2,2,1.38,4.69,,,-0.21,,-8,,1.21675506337127E-07,,,TRUE,,,Student,
102,50142,Character Education,103,Caring School Community (CSC),None,102,SRA Achievement Series,Academic achievement,,Grades 2-6: West Coast district,FALSE,1044,580,464,2,2,-1.52,-0.7,,,-0.04,,-2,,0.521221849,,,FALSE,,,Student,
115,50131,Character Education,117,Heartwood Ethics Curriculum/An Ethics Curriculum for Children,unknown,268,Ethical Conduct,Behavior,posttest,Grades 4-6,FALSE,385,216,169,,,64.48,63.2,12.79,12.54,0.1,0.10074105,4,,0.330973628,,,FALSE,,,Student,
132,50374,Character Education,186,Facing History and Ourselves,business as usual,602,Relationship maturity (best response score),"Knowledge, attitudes, & values",,Grade 8,FALSE,346,212,134,14,8,2.22,2.07,0.3,0.38,0.45,0.449176989,17,,5.83680690949828E-05,,,TRUE,,Evidence Tier 3,Student,
136,50374,Character Education,186,Facing History and Ourselves,business as usual,551,Civic attitudes and participation,"Knowledge, attitudes, & values",,Grade 8,FALSE,346,212,134,14,8,2.99,2.9,0.51,0.6,0.16,0.164308024,6,,0.148164322,,,FALSE,,,Student,
137,50374,Character Education,186,Facing History and Ourselves,business as usual,582,Moral reasoning (P score),"Knowledge, attitudes, & values",,Grade 8,FALSE,211,100,111,,,23,24.2,12.5,12.6,-0.1,-0.095253267,-4,,0.469072811,,,FALSE,,,Student,
140,51000,Character Education,269,Lions Quest -- Skills for Action,None,621,Student Service Learning Survey,"Knowledge, attitudes, & values",,Grades 9-12,FALSE,730,365,365,,,109.67,107.62,15.92,16.17,0.13,0.127630114,5,,0.080074044,,,FALSE,,,Student,
150,50354,Early Childhood Education,416,"Ready, Set, Leap!®",High/Scope,915,Comprehensive Test of Phonological Processing (CTOPP): Blending Words subtest,Phonological processing,,4 year olds,FALSE,254,129,125,8,9,4.24,3.18,4.17,3.38,0.28,0.277981743,11,,0.026560951,,,FALSE,,,Student,
171,51186,Elementary School Mathematics,289,Houghton Mifflin Mathematics,Business as usual,689,California Achievement Test (CAT)/6 exam: Percent at or above proficiency,General Mathematics Achievement,,Grades 2-5: California sample,FALSE,68,40,28,2,2,36.4,38.7,,,,,0,,0.99999,,,FALSE,,,Student,
173,51211,Elementary School Mathematics,305,Progress in Mathematics,Business as usual,847,TerraNova Mathematics Test,General Mathematics Achievement,,Grade 1,FALSE,186,96,90,4,4,40.62,37.7,4.3,5.8,0.57,0.572328518,22,,0.000142471,,,TRUE,,,Student,
183,51238,Beginning Reading,215,Little Books,Business as usual,1083,Metropolitan Reading Readiness Test,Reading achievement,End of Kindergarten,Kindergarten Students,FALSE,156,74,82,,,41.91,37.91,14.71,12.25,0.3,0.295458979,12,,0.063225253,,,FALSE,,,Student,
187,51428,Beginning Reading,383,Corrective Reading,Business as usual,206,Test of Word Reading Efficiency (TOWRE): Sight Word Efficiency subtest,Alphabetics,,Grade 3,FALSE,79,44,35,4,4,90.98,86.41,15,15,0.3,0.301689468,12,,0.189188573,,,FALSE,,,Student,
82,50391,Character Education,187,Lessons in Character,business as usual,84,Reading grades,Academic achievement,,Grade 4,FALSE,140,70,70,2,2,2.95,2.66,0.88,0.99,0.31,0.307939407,12,,0.068794954,,,FALSE,,,Student,
88,50142,Character Education,103,Caring School Community (CSC),None,584,Outgroups discrepancy score (deviation from friend),"Knowledge, attitudes, & values",,Grades 3–5,FALSE,1265,683,582,5,5,0.02,-0.09,0.48,0.52,0.22,0.220398646,9,,0.000118818,,,TRUE,,,Student,
97,50135,Character Education,103,Caring School Community (CSC),Unknown,15,California Achievement Test (CAT),Academic achievement,,Grade 4,FALSE,339,173,166,,,712.16,712.36,,,-0.02,,-1,,0.854074848,,,FALSE,,,Student,
98,50135,Character Education,103,Caring School Community (CSC),Unknown,55,Holistic measure of reading comprehension,Academic achievement,,Grade 6,FALSE,236,137,99,,,51.43,48.02,9.82,9.96,0.34,0.344073509,13,,0.010562344,,,TRUE,,,Student,
108,50129,Character Education,102,Building Decision Skills,None,606,Self-esteem,"Knowledge, attitudes, & values",,Grade 12,FALSE,278,139,139,3,3,35.03,34.57,5.76,6.44,0.07,0.075088185,3,,0.559986778,,,FALSE,,,Student,
118,50131,Character Education,117,Heartwood Ethics Curriculum/An Ethics Curriculum for Children,unknown,566,Ethnocentrism,"Knowledge, attitudes, & values",posttest,Grades 1-3,FALSE,447,186,261,,,28.1,33.97,24.58,25.54,0.23,0.233049095,9,,0.017145951,,,TRUE,,Evidence Tier 3,Student,
125,52546,Adolescent Literacy,729,Reading Mastery,Business as usual,1533,Riverside Publishing Off Grade Reading Proficiency Test,Comprehension,"spring 1999, end of 5th grade, 2 years of DI",Grade 4,FALSE,142,71,71,,,209.01,205.46,20.16,18.42,0.18,0.182859638,7,,0.285339433,,,FALSE,,,Student,
135,50374,Character Education,186,Facing History and Ourselves,business as usual,565,Ethnic identity,"Knowledge, attitudes, & values",,Grade 8,FALSE,346,212,134,14,8,3.48,3.6,0.78,0.3,-0.19,-0.187463806,-8,,0.086170228,,,FALSE,,,Student,
142,51011,Character Education,190,Voices Literature and Character Education (Voices LACE),None,602,Relationship maturity (best response score),"Knowledge, attitudes, & values",,Grades 6-7,FALSE,98,50,48,,,2.1,2.05,0.31,0.31,0.16,0.160026952,6,,0.430412455,,,FALSE,,,Student,
151,50354,Early Childhood Education,416,"Ready, Set, Leap!®",High/Scope,917,Dynamic Indicators of Basic Early Literacy Skills (DIBELS): Initial Sound Fluency subtest,Phonological processing,,4 year olds,FALSE,254,129,125,8,9,11.03,9.58,8.24,6.48,0.2,0.194670889,8,,0.112287583,,,FALSE,,,Student,
159,51185,Early Childhood Education,397,Curiosity Corner,Business as usual,877,Mullen Scales of Early Learning (MSEL): Receptive Language Scale,Oral language,,4-year olds,FALSE,147,100,47,,,43.1,42.58,4.32,3.78,0.06,0.124463189,2,,0.734896168,,,FALSE,,,Student,
161,51185,Early Childhood Education,397,Curiosity Corner,Business as usual,319,Mullen Scales of Early Learning (MSEL): Visual Receptive Scale,Cognition,,3-year olds,FALSE,165,103,62,,,42.32,42.66,3.54,4.04,-0.09,-0.090612207,-4,,0.576307625,,,FALSE,,,Student,
71,50135,Character Education,103,Caring School Community (CSC),unknown,553,Concern for others,"Knowledge, attitudes, & values",,Grade 4: Cohort 1,FALSE,294,149,145,3,3,2.01,2.06,1.3,1.23,,-0.039394085,-2,,0.735829078,,,FALSE,,,Student,
72,50135,Character Education,103,Caring School Community (CSC),unknown,552,Concern for equality,"Knowledge, attitudes, & values",,Grade 4: Cohort 1,FALSE,294,149,145,3,3,3.19,2.92,1.19,1.36,,0.210944382,8,,0.071584358,,,FALSE,,,Student,
76,50135,Character Education,103,Caring School Community (CSC),unknown,554,Conflict resolution interview,"Knowledge, attitudes, & values",,Kindergarten: Cohort 2,FALSE,318,185,133,3,3,1.24,1.08,,,0.18,,7,,0.114400527,,,FALSE,,,Student,
